Tiempo (s),intensidad
1,4.6734586018337656e-8
2,2.5663524502054763e-8
3,2.660257645410323e-8
4,2.8962763634786727e-8
5,2.5532462339861566e-8
6,2.9903326313154206e-8
7,5.0651790275159886e-8
8,4.942905413915436e-8
9,6.170480724615176e-8
10,3.3333091925020214e-8
11,3.451353153766712e-8
12,3.884257383935821e-8
13,3.8666423205254906e-8
14,3.3283937666451523e-8
15,2.863300967406605e-8
16,3.1275214718225285e-8
17,3.142454513037008e-8
18,2.8702253775272887e-8
19,4.009184106247863e-8
20,2.7979374417282343e-8
21,2.901095330301056e-8
22,2.6218123206061973e-8
23,2.001439192704839e-8
24,2.033788091180375e-8
25,2.4466790314711494e-8
26,2.752809763847752e-8
27,2.2955724289619618e-8
28,2.3866734393991654e-8
29,2.7654002642021342e-8
30,2.647317313805216e-8
31,4.3274195225003443e-8
32,3.253828808804912e-8
33,3.287787197463876e-8
34,2.622431784432115e-8
35,2.7740481820364267e-8
36,2.7864445175577145e-8
37,2.6366689204117517e-8
38,2.6408479688558348e-8
39,3.147405504340052e-8
40,8.406534507005011e-7
41,1.5219717802268223e-7
42,1.363396579178494e-8
43,1.4484516405718927e-8
44,1.671823016494334e-8
45,1.4223720182162286e-8
46,1.6028172212378955e-8
47,1.636741144976986e-8
48,1.4812433035948518e-8
49,1.890118356838733e-8
50,1.8408080293619677e-8
51,2.340714793940167e-8
52,2.1532060925877368e-8
53,1.6553113770732963e-8
54,1.5292363054065943e-8
55,1.5437280660306567e-8
56,1.821345763918495e-8
57,1.6138605291377722e-8
58,1.4402709462280109e-8
59,1.5367322305004217e-8
60,1.4133639181791796e-8
61,1.4704064530562934e-8
62,1.3722555628489947e-8
63,1.6434852094471362e-8
64,1.5021430750200555e-8
65,1.7958348697188034e-8
66,1.542298016305195e-8
67,1.6125901398998625e-8
68,1.4317790385664918e-8
69,1.794875791387993e-8
70,1.84800609817229e-8
71,1.4464419206586466e-8
72,1.9785498641904138e-8
73,1.5184853279707405e-8
74,1.701895931207692e-8
75,1.5943460861855164e-8
76,1.6981435504388163e-8
77,1.8633536996545933e-8
78,1.7768288616736107e-8
79,1.9356119737377395e-8
80,2.0515060402584134e-8
81,1.7259344601848623e-8
82,1.818199776316872e-8
83,1.6521025441810034e-8
84,1.838878351386973e-8
85,1.8797816248855757e-8
86,1.9959759313269885e-8
87,1.960943135762743e-8
88,2.0787707628460294e-8
89,1.9713943157926615e-8
90,1.8263903338934324e-8
91,1.7997857130360757e-8
92,1.7503496014087128e-8
93,1.6593843887712954e-8
94,1.83181917168389e-8
95,1.5842028855455746e-8
96,1.7469673970689324e-8
