Tiempo (s),intensidad
1,4.6734586018337656e-8
2,2.5663524502054763e-8
3,2.660257645410323e-8
4,2.8962763634786727e-8
5,2.9903326313154206e-8
6,5.0651790275159886e-8
7,4.942905413915436e-8
8,6.170480724615176e-8
9,3.451353153766712e-8
10,3.884257383935821e-8
11,3.8666423205254906e-8
12,3.3283937666451523e-8
13,3.1275214718225285e-8
14,3.142454513037008e-8
15,2.8702253775272887e-8
16,4.009184106247863e-8
17,2.901095330301056e-8
18,2.6218123206061973e-8
19,2.001439192704839e-8
20,2.033788091180375e-8
21,2.752809763847752e-8
22,2.2955724289619618e-8
23,2.3866734393991654e-8
24,2.7654002642021342e-8
25,4.3274195225003443e-8
26,3.253828808804912e-8
27,3.287787197463876e-8
28,2.622431784432115e-8
29,2.7864445175577145e-8
30,2.6366689204117517e-8
31,2.6408479688558348e-8
32,3.147405504340052e-8
33,1.5219717802268223e-7
34,1.363396579178494e-8
35,1.4484516405718927e-8
36,1.671823016494334e-8
37,1.6028172212378955e-8
38,1.636741144976986e-8
39,1.4812433035948518e-8
40,1.890118356838733e-8
41,2.340714793940167e-8
42,2.1532060925877368e-8
43,1.6553113770732963e-8
44,1.5292363054065943e-8
45,1.821345763918495e-8
46,1.6138605291377722e-8
47,1.4402709462280109e-8
48,1.5367322305004217e-8
49,1.4704064530562934e-8
50,1.3722555628489947e-8
51,1.6434852094471362e-8
52,1.5021430750200555e-8
53,1.542298016305195e-8
54,1.6125901398998625e-8
55,1.4317790385664918e-8
56,1.794875791387993e-8
57,1.4464419206586466e-8
58,1.9785498641904138e-8
59,1.5184853279707405e-8
60,1.701895931207692e-8
61,1.6981435504388163e-8
62,1.8633536996545933e-8
63,1.7768288616736107e-8
64,1.9356119737377395e-8
65,1.7259344601848623e-8
66,1.818199776316872e-8
67,1.6521025441810034e-8
68,1.838878351386973e-8
69,1.9959759313269885e-8
70,1.960943135762743e-8
71,2.0787707628460294e-8
72,1.9713943157926615e-8
73,1.7997857130360757e-8
74,1.7503496014087128e-8
75,1.6593843887712954e-8
76,1.83181917168389e-8
77,1.7469673970689324e-8
78,1.761992274885479e-8
79,2.0044120271868505e-8
80,1.801992586771703e-8
81,1.8335835329828714e-8
82,2.0582759521512282e-8
83,2.0199443282150546e-8
84,1.9774085151937342e-8
85,2.0416251171785752e-8
86,2.017966721665982e-8
87,1.9148360711245204e-8
88,2.1460236314830137e-8
89,1.9724558905931788e-8
90,2.0627210473024362e-8
91,1.993056911021992e-8
92,2.139424672924156e-8
93,2.080151661329704e-8
94,1.8912589663443916e-8
95,1.8374985286439315e-8
96,1.9613938083381622e-8
